"id","map_no","url"
"381","NM1","https://osu.ppy.sh/beatmapsets/2253858#osu/4794190"
"382","NM2","https://osu.ppy.sh/beatmapsets/1650951#osu/4941216"
"383","NM3","https://osu.ppy.sh/beatmapsets/1001507#osu/2096523"
"384","NM4","https://osu.ppy.sh/beatmapsets/1466924#osu/3647284"
"385","NM5","https://osu.ppy.sh/beatmapsets/1674903#osu/3421603"
"386","HD1","https://osu.ppy.sh/beatmapsets/1029349#osu/2152441"
"387","HD2","https://osu.ppy.sh/beatmapsets/854235#osu/1785185"
"388","HD3","https://osu.ppy.sh/beatmapsets/1080259#osu/2260036"
"389","HR1","https://osu.ppy.sh/beatmapsets/1566187#osu/3198042"
"390","HR2","https://osu.ppy.sh/beatmapsets/973162#osu/2067296"
"391","HR3","https://osu.ppy.sh/beatmapsets/41686#osu/131564"
"392","DT1","https://osu.ppy.sh/beatmapsets/1221223#osu/2540412"
"393","DT2","https://osu.ppy.sh/beatmapsets/1829276#osu/3754397"
"394","DT3","https://osu.ppy.sh/beatmapsets/1557327#osu/3181361"
"395","DT4","https://osu.ppy.sh/beatmapsets/1480954#osu/3239506"
"396","FM1","https://osu.ppy.sh/beatmapsets/2288047#osu/4881932"
"397","FM2","https://osu.ppy.sh/beatmapsets/2021556#osu/4329092"
"398","FM3","https://osu.ppy.sh/beatmapsets/1312076#osu/2719327"
"399","TB","https://osu.ppy.sh/beatmapsets/346104#osu/764082"